Epoch,Train_Loss,Val_Loss,Val_Acc,Time_s,Saved_Best_Model
1,1.8986,1.7119,0.3309,29.0,True
2,1.6725,1.5862,0.3712,27.7,True
3,1.5792,1.4931,0.4338,26.7,True
4,1.5159,1.4351,0.451,27.1,True
5,1.4661,1.3981,0.4638,26.4,True
6,1.4267,1.3552,0.4801,27.0,True
7,1.3962,1.3258,0.4815,26.4,True
8,1.3519,1.2873,0.4988,26.4,True
9,1.3335,1.2919,0.4958,26.9,False
10,1.3082,1.2685,0.5121,26.6,True
11,1.2783,1.2584,0.514,26.4,True
12,1.2495,1.231,0.5323,26.5,True
13,1.2436,1.2172,0.5278,26.5,True
14,1.2189,1.2206,0.5396,26.5,False
15,1.1998,1.2129,0.5347,26.4,True
16,1.1753,1.1894,0.5549,26.5,True
17,1.1583,1.1766,0.5515,26.4,True
18,1.1414,1.1714,0.5529,26.6,True
19,1.1256,1.1669,0.5628,26.4,True
20,1.1036,1.1605,0.5633,26.4,True
21,1.0909,1.1618,0.5588,26.6,False
22,1.0658,1.1534,0.5643,26.4,True
23,1.0535,1.1402,0.5667,26.4,True
24,1.027,1.1537,0.5633,26.4,False
25,1.021,1.1311,0.5741,26.5,True
26,0.9922,1.1242,0.581,26.6,True
27,0.9846,1.119,0.5643,26.6,True
28,1.0085,0.7735,0.7326,27.4,True
29,0.9823,0.7671,0.7297,26.7,True
30,0.9687,0.7796,0.7326,26.8,False
31,0.9509,0.7881,0.7322,26.4,False
32,0.9284,0.7683,0.7322,27.1,False
33,0.9142,0.7905,0.7312,26.4,False
34,0.8472,0.759,0.7366,26.4,True
35,0.8498,0.7571,0.742,26.6,True
36,0.8202,0.7544,0.7326,26.5,True
37,0.8002,0.7476,0.7292,26.8,True
38,0.7924,0.7343,0.7381,26.5,True
39,0.7817,0.7535,0.7287,26.6,False
40,0.7623,0.7411,0.7336,26.4,False
41,0.75,0.7588,0.7208,27.6,False
42,0.7385,0.7671,0.7218,28.9,False
43,0.7119,0.7351,0.7302,26.9,False
44,0.7034,0.7383,0.7302,27.4,False
45,0.6928,0.7297,0.7336,27.1,True
46,0.6833,0.7343,0.7336,27.3,False
47,0.6817,0.7368,0.7346,26.8,False
48,0.668,0.7447,0.7297,27.8,False
49,0.6635,0.7304,0.7346,26.6,False
50,0.6465,0.7273,0.7366,26.5,True
51,0.6418,0.7276,0.7371,27.9,False
52,0.6265,0.7336,0.7292,28.1,False
53,0.6255,0.736,0.7297,27.6,False
54,0.6308,0.7263,0.7341,27.8,True
55,0.6283,0.7286,0.7371,27.7,False
56,0.6255,0.7299,0.7341,27.6,False
57,0.6211,0.7321,0.7317,27.5,False
